id_k,iq_k,epsilon_k,n_k,n_1k,id_k1,iq_k1
-81.45802,229.5293,2.240254,5,6,-105.7382,167.3617
-140.6821,112.4234,-1.610116,7,2,-174.8971,128.2237
-127.0724,171.7438,-1.971891,4,7,-92.96102,126.6081
-42.2788,120.1495,1.300341,2,7,-82.2331,124.3379
-48.02003,10.97132,-1.778834,1,4,-45.73148,11.60761
-101.8831,171.452,-2.636881,7,7,-131.4159,143.4841
-174.9975,16.06845,2.232563,7,5,-152.5291,11.12665
-126.3101,20.04385,0.4905635,5,7,-90.52465,13.00836
-132.9475,8.375214,0.5626511,6,1,-131.7579,1.273251
-19.2733,29.37463,-1.10808,3,1,-50.30427,30.52195
-98.45276,31.51896,-0.8212605,3,6,-136.4492,34.80191
-116.1346,55.32195,2.542329,4,6,-69.68085,59.78446
-49.58506,107.8092,1.782283,2,2,-69.80007,125.7025
-78.22929,177.5911,1.049206,5,1,-46.51734,135.7972
-104.7377,36.72026,2.393274,4,1,-67.34094,43.52093
-11.40329,2.37645,2.822747,6,1,-33.33082,4.495542
-49.23352,50.99094,-1.719848,1,2,-45.70557,51.07067
-239.4017,42.15784,0.8343174,1,3,-234.8993,40.85796
-107.9915,195.4167,2.506717,2,6,-93.59576,256.9083
-163.7743,30.52222,1.804882,2,2,-188.3662,37.21771
-134.7415,85.36557,0.7190939,4,6,-162.4523,101.576
-99.02482,48.57312,0.4683246,5,1,-55.81282,39.3429
-73.96267,71.09933,-1.675622,5,3,-69.6004,89.4269
-9.013615,182.1127,1.80165,1,6,1.509355,173.142
-191.7185,2.596387,1.455149,2,7,-233.9982,5.939559
-57.50961,197.4034,-2.185868,1,1,-46.47501,193.5488
-116.7664,114.2385,1.287721,2,5,-153.743,123.4066
-89.80032,61.75412,1.798997,5,5,-91.00605,50.5632
-46.2184,92.04665,0.3889928,7,6,-3.223226,112.7553
-44.44529,172.5807,-0.907591,7,1,-42.41548,224.1296
-78.34222,95.25872,-1.683685,5,1,-73.80741,126.3119
-11.09004,54.51558,-1.053773,1,7,-5.329863,52.53906
-14.49148,36.18888,-1.049905,5,4,5.479383,43.13718
-155.6036,24.61441,-1.484368,7,3,-186.3671,31.66625
-96.06038,38.4025,-2.135937,2,7,-45.73318,38.12447
-92.75644,30.52646,2.787272,5,6,-125.1189,27.20569
-21.02425,152.2579,0.5286462,4,4,-48.59299,166.1454
-1.767437,8.564042,2.039234,6,1,-33.85494,6.145688
-17.12147,57.37071,1.341424,4,5,-20.81438,72.86842
-139.089,101.7581,-1.121797,6,1,-83.72354,97.11927
-100.4493,169.3351,-2.363674,6,7,-65.76162,221.9248
-6.760247,36.06652,-2.33788,4,3,14.83239,31.02318
-162.8764,132.2432,2.661745,6,1,-192.7137,154.438
-137.7789,32.98318,0.6909912,5,4,-95.45402,23.17757
-121.4857,43.34124,1.703883,7,7,-85.08702,35.36309
-2.792809,56.80804,2.162702,2,3,-12.69726,68.87263
-120.1239,92.36177,-1.024812,3,1,-157.2092,93.21461
-116.4075,82.261,0.0796892,5,3,-60.93958,74.2112
-70.43214,21.24767,2.017011,5,6,-81.75931,14.31675
-67.81248,62.32925,-1.847815,5,2,-74.16735,77.76854
-118.5916,74.94057,2.951417,3,1,-79.43528,59.94094
-4.714437,211.9678,-2.616491,6,1,17.46191,283.2297
-79.90392,185.6523,-2.313478,2,1,-18.86135,201.398
-33.9141,109.3659,-1.455513,6,6,11.24847,124.0518
-14.74164,80.19804,1.870438,4,1,6.459995,106.4245
-139.4558,99.12979,0.2615698,1,1,-129.9989,96.93449
-82.86829,29.33337,3.048032,6,3,-103.2777,36.87729
-82.66794,178.4471,1.035328,1,2,-67.56941,174.8792
-61.03283,110.4817,-2.929536,4,2,-10.94181,103.9398
-172.4953,1.387007,-0.8922772,5,4,-139.4126,7.55297
-148.2239,0.8730918,-0.7038508,4,5,-181.521,-7.238079
-94.7633,188.7081,0.602162,4,3,-122.3981,217.5962
-141.752,81.20697,3.006101,5,5,-176.3323,79.85832
-188.9531,79.93142,1.771123,1,1,-180.3624,78.9007
-152.9055,139.416,-0.1292264,4,4,-190.3339,133.4336
-70.23008,3.472936,2.520938,5,5,-100.3575,-2.187569
-100.4658,126.8947,0.2864384,5,1,-45.09721,114.8936
-93.46631,92.48859,2.389222,4,6,-45.94097,109.8468
-87.33755,77.46265,2.256579,4,2,-50.51573,87.90627
-22.61904,72.098,-0.8079211,4,2,-44.6824,60.10772
-150.3211,42.97408,-2.234138,7,5,-185.378,41.73575
-165.3995,137.2757,0.4544169,7,4,-108.7866,155.1708
-73.0132,189.5535,0.05682712,3,3,-77.34772,238.4695
-99.98555,90.40701,2.572699,5,6,-126.4634,76.38056
-222.7645,13.86852,0.1057227,4,1,-264.8295,15.99701
-87.7885,178.9062,1.134068,2,2,-124.7655,176.5825
-104.9033,48.10384,-1.866916,6,7,-68.42178,51.67188
-180.4554,56.62963,0.8959646,2,7,-221.7591,59.6674
-80.79939,49.03506,1.981283,3,4,-37.41351,46.13012
-57.19544,152.097,0.6340421,1,6,-48.56099,148.2612
-25.43978,3.392583,0.4175135,1,3,-24.76005,1.676395
-69.03076,53.29459,0.6295662,4,1,-95.70787,61.29348
-87.02477,67.8382,0.2125669,1,1,-79.66691,66.36839
-64.47827,49.43532,2.359744,2,6,-63.61541,60.94349
-135.1796,8.920738,-2.798785,6,3,-137.72,17.03178
-213.811,4.835215,-0.3658105,1,2,-209.0464,6.585828
-58.55313,24.63182,2.443524,7,1,-48.2081,17.06046
-103.2943,146.976,-1.68033,3,5,-129.4647,122.3199
-141.0928,146.8085,0.8582702,6,3,-145.2998,109.0151
-166.2584,80.79343,-1.872473,2,3,-109.7762,74.38126
-32.63393,4.481813,1.303841,1,4,-29.48359,2.830477
-14.60377,151.181,2.749296,2,2,11.88083,201.1792
-166.9772,137.7485,-2.253789,2,1,-103.6188,141.3572
